"","testSection","testParcelle","",""
"3626","F","12-80-129","F","12-80-129"
"3627","G","2-3-4-5-116-117-132-138","G","2-3-4-5-116-117-132-138"
"3628","M","40","M","40"
"3629","AP","201","AP","201"
"3630","H","234","H","234"
"3631","B","227","B","227"
"3632","R","16","R","16"
"3633","E","136","E","136"
"3634","AP","218","AP","218"
"3635","X","89","X","89"
"3636","AI","114","AI","114"
"3637","Y","301","Y","301"
"3638","AO","132","AO","132"
"3639","K","35","K","35"
"3640","BF","205","BF","205"
"3641","AK","87","AK","87"
"3642","AL","75","AL","75"
"3643","T","12","T","12"
"3644","AK","93","AK","93"
"3645","BD","104","BD","104"
"3646","A","103","A","103"
"3647","Y","199","Y","199"
"3648","K","126","K","126"
"3649","AL","145","AL","145"
"3650","H","b","H","b"
"3651","AB","57","AB","57"
"3652","X","54","X","54"
"3653","AD","60/88","AD","60/88"
"3654","AG","123","AG","123"
"3655","AQ","94","AQ","94"
"3656","M","62","M","62"
"3657","S","102","S","102"
"3658","A","303p;-272p","A","303p - 272p"
"3659","Y","94","Y","94"
"3660","AR","77","AR","77"
"3661","AH","144;(lotB)","AH","144 (lot B)"
"3662","BD","54","BD","54"
"3663","AI","22","AI","22"
"3664","M","2-3-4-117-118","M","2-3-4-117-118"
"3665","AS","43","AS","43"
"3666","AV","29","AV","29"
"3667","C","162","C","162"
"3668","AB","88","AB","88"
"3669","AO","164","AO","164"
"3670","AO","132","AO","132"
"3671","R","123","R","123"
"3672","Y","143-144","Y","143-144"
"3673","O","30","O","30"
"3674","T","12","T","12"
"3675","A","279","A","279"
"3676","O","34-35-36","O","34-35-36"
"3677","H","61","H","61"
"3678","AZ","184","AZ","184"
"3679","J","236","J","236"
"3680","Y","126","Y","126"
"3681","AH","144","AH","144"
"3682","0P","140","0P","140"
"3683","AJ","14","AJ","14"
"3684","AB","90","AB","90"
"3685","AQ","151","AQ","151"
"3686","AG","326","AG","326"
"3687","AS","149","AS","149"
"3688","M","79","M","79"
"3689","BD","54","BD","54"
"3690","AL","75","AL","75"
"3691","AE","208-189","AE","208-189"
"3692","AH","144","AH","144"
"3693","","","",""
"3694","AV","187","AV","187"
"3695","AQ","295","AQ","295"
"3696","H","234","H","234"
"3697","AJ","178","AJ","178"
"3698","X","56","X","56"
"3699","AN","41-192","AN","41-192"
"3700","AJ","11","AJ","11"
"3701","AH","241","AH","241"
"3702","","","",""
"3703","U","141","U","141"
"3704","AB","43","AB","43"
"3705","AT","37","AT","37"
"3706","D","13","D","13"
"3707","AC","11","AC","11"
"3708","D","21","D","21"
"3709","AH","169","AH","169"
"3710","P","129","P","129"
"3711","AG","326","AG","326"
"3712","AK","12-13-125-136","AK","12-13-125-136"
"3713","Y","94","Y","94"
"3714","G","167/168","G","167/168"
"3715","E","52","E","52"
"3716","X","54","X","54"
"3717","X","54","X","54"
"3718","AU","27-33-34;110","AU","27-33-34 110"
"3719","BD","164","BD","164"
"3720","X","89","X","89"
"3721","AH","170","AH","170"
"3722","H","234","H","234"
"3723","O","30","O","30"
"3724","AU","27-33-34-110","AU","27-33-34-110"
"3725","Y","143","Y","143"
"3726","B","197","B","197"
"3727","B","227","B","227"
"3728","G","167","G","167"
"3729","M","38","M","38"
"3730","P","144-147","P","144-147"
"3731","X","114","X","114"
"3732","E","115","E","115"
"3733","AP","159","AP","159"
"3734","AU","164","AU","164"
"3735","AK","87","AK","87"
"3736","AB","13","AB","13"
"3737","AH","169","AH","169"
"3738","AK","44","AK","44"
"3739","AK","167-169","AK","167-169"
"3740","AV","187","AV","187"
"3741","AO","107","AO","107"
"3742","M","66","M","66"
"3743","T","150","T","150"
"3744","P","152","P","152"
"3745","AP","52","AP","52"
"3746","AG","104","AG","104"
"3747","AU/AT","183/202","AU/AT","183/202"
"3748","AY","55","AY","55"
"3749","AD","72","AD","72"
"3750","B","91","B","91"
"3751","D","95","D","95"
"3752","AO","192","AO","192"
"3753","AE","161","AE","161"
"3754","AV","63","AV","63"
"3755","AH","180","AH","180"
"3756","AD","61-91","AD","61-91"
"3757","AK","167/169","AK","167/169"
"3758","AH","55;et222","AH","55 et 222"
"3759","BF","168-195-206p","BF","168-195-206p"
"3760","S","102","S","102"
"3761","X","106","X","106"
"3762","AJ","219-220","AJ","219-220"
"3763","AV","31","AV","31"
"3764","AL","102-103","AL","102-103"
"3765","AL","18-19","AL","18-19"
"3766","AT","144","AT","144"
"3767","AZ","252","AZ","252"
"3768","AZ","139","AZ","139"
"3769","AV","86","AV","86"
"3770","AY","96","AY","96"
"3771","AD","69-76","AD","69-76"
"3772","G","159","G","159"
"3773","D","215","D","215"
"3774","AX","127-128","AX","127-128"
"3775","BC","46","BC","46"
"3776","A","325-326-327-332","A","325-326-327-332"
"3777","H","234","H","234"
"3778","AI","29","AI","29"
"3779","P","129p;-93-17p-68-8788-130-131-5-6-15","P","129p - 93 - 17p - 68 - 87 88 -130 -131 - 5- 6 -15"
"3780","AV","187","AV","187"
"3781","X","54","X","54"
"3782","AS","166","AS","166"
"3783","AH","237","AH","237"
"3784","AS","61","AS","61"
"3785","AL","165","AL","165"
"3786","Y","294","Y","294"
"3787","C","63","C","63"
"3788","X","113","X","113"
"3789","Z","44","Z","44"
"3790","AJ","103-104-105-106-107","AJ","103-104-105-106-107"
"3791","AM","77","AM","77"
"3792","AO","78","AO","78"
"3793","AZ","117","AZ","117"
"3794","A","123","A","123"
"3795","J","236-286-295-25","J","236-286-295-25"
"3796","AB","13","AB","13"
"3797","AS","10","AS","10"
"3798","AH","5","AH","5"
"3799","K","38","K","38"
"3800","A","140","A","140"
"3801","AY","157","AY","157"
"3802","AK","44","AK","44"
"3803","H","220","H","220"
"3804","A","101","A","101"
"3805","M","79","M","79"
"3806","X","89","X","89"
"3807","AR","53","AR","53"
"3808","AO","90","AO","90"
"3809","K","35","K","35"
"3810","AH","237","AH","237"
"3811","Y","199","Y","199"
"3812","G","99","G","99"
"3813","AB","13","AB","13"
"3814","AX","128","AX","128"
"3815","AN","204","AN","204"
"3816","T","12","T","12"
"3817","AX","127","AX","127"
"3818","M","32","M","32"
"3819","N","34","N","34"
"3820","AT","189","AT","189"
"3821","AN","63","AN","63"
"3822","AR","58","AR","58"
"3823","AJ","74","AJ","74"
"3824","AT","157","AT","157"
"3825","AX","40","AX","40"
"3826","N","34","N","34"
"3827","B","91","B","91"
"3828","Y","110","Y","110"
"3829","AO","164","AO","164"
"3830","P","129","P","129"
"3831","X","84","X","84"
"3832","R","8","R","8"
"3833","A","270-72-73-74","A","270-72-73-74"
"3834","AB","123","AB","123"
"3835","AD","72","AD","72"
"3836","Y","165","Y","165"
"3837","Q","5","Q","5"
"3838","AZ","223","AZ","223"
"3839","AM","63","AM","63"
"3840","AH","78-79-273","AH","78-79-273"
"3841","AD","154","AD","154"
"3842","K","24-25-26-27-28-45-46-101-103-105-107-117-119","K","24-25-26-27-28-45-46-101-103-105-107-117-119"
"3843","P","91-92","P","91-92"
"3844","X","138","X","138"
"3845","AR","153;et156","AR","153 et 156"
"3846","AE","24","AE","24"
"3847","V","107","V","107"
"3848","AH","278","AH","278"
"3849","E","52","E","52"
"3850","B","227","B","227"
"3851","AT","51","AT","51"
"3852","AI","29","AI","29"
"3853","AQ","160","AQ","160"
"3854","AB","22","AB","22"
"3855","E","208","E","208"
"3856","A","28","A","28"
"3857","AT","81","AT","81"
"3858","AQ","296","AQ","296"
"3859","R","141-143","R","141-143"
"3860","U","115","U","115"
"3861","AS","145","AS","145"
"3862","AG","314","AG","314"
"3863","AS","29","AS","29"
"3864","AS","97-98","AS","97-98"
"3865","BC","29","BC","29"
"3866","D","95","D","95"
"3867","AI","188","AI","188"
"3868","AM","49","AM","49"
"3869","X","141","X","141"
"3870","AE","103-122","AE","103-122"
"3871","AZ","65","AZ","65"
"3872","B","303","B","303"
"3873","H","17","H","17"
"3874","AB","95","AB","95"
"3875","BE","188","BE","188"
"3876","AZ","170","AZ","170"
"3877","AU","47","AU","47"
"3878","AT","212","AT","212"
"3879","","","",""
"3880","AR","32","AR","32"
"3881","A","76","A","76"
"3882","AB","28","AB","28"
"3883","X","173","X","173"
"3884","M","2-3-4-117-118","M","2-3-4-117-118"
"3885","AK","87","AK","87"
"3886","AE","161","AE","161"
"3887","AY","55","AY","55"
"3888","G","55","G","55"
"3889","AJ","238(;+AJ221)","AJ","238( + AJ 221 )"
"3890","AQ","60","AQ","60"
"3891","AH","278","AH","278"
"3892","A","270","A","270"
"3893","F","143","F","143"
"3894","I","86","I","86"
"3895","X","89","X","89"
"3896","A","267","A","267"
"3897","M","126","M","126"
"3898","AQ","217","AQ","217"
"3899","AN","166","AN","166"
"3900","AJ","39","AJ","39"
"3901","AV","9","AV","9"
"3902","AR","197","AR","197"
"3903","AU","47","AU","47"
"3904","BD","59","BD","59"
"3905","AN","172","AN","172"
"3906","AB","40","AB","40"
"3907","K","35","K","35"
"3908","AC","51","AC","51"
"3909","AO","244","AO","244"
"3910","BF","242","BF","242"
"3911","AH","52","AH","52"
"3912","I","86","I","86"
"3913","AN","63","AN","63"
"3914","E","122","E","122"
"3915","AT","144","AT","144"
"3916","N","34","N","34"
"3917","AZ","257","AZ","257"
"3918","AT","57","AT","57"
"3919","AV","165","AV","165"
"3920","G","55","G","55"
"3921","U","88","U","88"
"3922","AB","28","AB","28"
"3923","AN","41;et192","AN","41 et 192"
"3924","AI","47","AI","47"
"3925","AS","97","AS","97"
"3926","P","129","P","129"
"3927","I","88-90-92","I","88-90-92"
"3928","Y","143","Y","143"
"3929","AH","80","AH","80"
"3930","AN","77","AN","77"
"3931","Y","110","Y","110"
"3932","","","",""
"3933","R","141","R","141"
"3934","D","109","D","109"
"3935","AO","164","AO","164"
"3936","N","34","N","34"
"3937","AJ","238","AJ","238"
"3938","BG","182","BG","182"
"3939","Y","152","Y","152"
"3940","BE","119","BE","119"
"3941","AR","53","AR","53"
"3942","T","187","T","187"
"3943","U","115","U","115"
"3944","AR","58","AR","58"
"3945","AL","79","AL","79"
"3946","G","139-140","G","139-140"
"3947","BF","176-243","BF","176-243"
"3948","AB","54","AB","54"
"3949","D","21","D","21"
"3950","X","94","X","94"
"3951","BF","134-187","BF","134-187"
"3952","M","114","M","114"
"3953","V","107","V","107"
"3954","A","276","A","276"
"3955","Y","214-222-216-221","Y","214-222-216-221"
"3956","AI","20","AI","20"
"3957","BC","46","BC","46"
"3958","AS","64","AS","64"
"3959","BF","69et222","BF","69et222"
"3960","X","144","X","144"
"3961","G","158","G","158"
"3962","X","55","X","55"
"3963","H","321","H","321"
"3964","Z","56","Z","56"
"3965","V","34","V","34"
"3966","AU","39","AU","39"
"3967","H","17","H","17"
"3968","AV","14","AV","14"
"3969","A","165","A","165"
"3970","AT","51","AT","51"
"3971","AB","88","AB","88"
"3972","D","215","D","215"
"3973","AE","165","AE","165"
"3974","A","255","A","255"
"3975","AL","103","AL","103"
"3976","L","86","L","86"
"3977","AR","177","AR","177"
"3978","Y","199","Y","199"
"3979","L","134","L","134"
"3980","AI","20","AI","20"
"3981","AS","125","AS","125"
"3982","E","91","E","91"
"3983","AV","197","AV","197"
"3984","AM","32-311","AM","32-311"
"3985","AZ","257","AZ","257"
"3986","H","59","H","59"
"3987","AD","220","AD","220"
"3988","AP","182","AP","182"
"3989","A","267","A","267"
"3990","X","55","X","55"
"3991","A","190","A","190"
"3992","AK","85","AK","85"
"3993","BF","193","BF","193"
"3994","AN","166","AN","166"
"3995","AH","53","AH","53"
"3996","AG","314","AG","314"
"3997","AH","179","AH","179"
"3998","AZ","257","AZ","257"
"3999","K","32","K","32"
"4000","AP","183","AP","183"
"4001","AJ","12","AJ","12"
"4002","AG","108","AG","108"
"4003","AX","128","AX","128"
"4004","AD","106","AD","106"
"4005","AB","88","AB","88"
"4006","AE","165","AE","165"
"4007","AG","98","AG","98"
"4008","AG","314","AG","314"
"4009","BF","12","BF","12"
"4010","X","215","X","215"
"4011","T","29","T","29"
"4012","U","88","U","88"
"4013","E","52","E","52"
"4014","B","349","B","349"
"4015","AI","20","AI","20"
"4016","AP","124-155","AP","124-155"
"4017","AN","61","AN","61"
"4018","E","86","E","86"
"4019","AH","53","AH","53"
"4020","AB","22","AB","22"
"4021","Q","48","Q","48"
"4022","O","15","O","15"
"4023","H","218-222-223","H","218-222-223"
"4024","G","34","G","34"
"4025","AT","169","AT","169"
"4026","AO","71","AO","71"
"4027","AI","20","AI","20"
"4028","BD","48","BD","48"
"4029","AL","138","AL","138"
"4030","G","167","G","167"
"4031","AB","116","AB","116"
"4032","X","45","X","45"
"4033","H","18","H","18"
"4034","C","162","C","162"
"4035","C","162","C","162"
"4036","AM","77","AM","77"
"4037","AH","24","AH","24"
"4038","T","57","T","57"
"4039","AP","146","AP","146"
"4040","AZ","223","AZ","223"
"4041","Z","10","Z","10"
"4042","AV","189","AV","189"
"4043","H","63","H","63"
"4044","AP","155","AP","155"
"4045","AF","53","AF","53"
"4046","AB","90","AB","90"
"4047","AL","103","AL","103"
"4048","B","340-;311","B","340- 311"
"4049","V","107","V","107"
"4050","Y","88","Y","88"
"4051","AT","66","AT","66"
"4052","AH","110-252","AH","110-252"
"4053","Y","197","Y","197"
"4054","P","25","P","25"
"4055","AT","198","AT","198"
"4056","AX","128","AX","128"
"4057","AI","47","AI","47"
"4058","K","53","K","53"
"4059","X","106","X","106"
"4060","AR","167","AR","167"
"4061","Q","48","Q","48"
"4062","K","32","K","32"
"4063","AU","62","AU","62"
"4064","D","21","D","21"
"4065","U","115","U","115"
"4066","D","224","D","224"
"4067","F","52","F","52"
"4068","H","59","H","59"
"4069","R","8","R","8"
"4070","F","69","F","69"
"4071","AV","78","AV","78"
"4072","AK","87","AK","87"
"4073","E","44","E","44"
"4074","S","190","S","190"
"4075","BF","34","BF","34"
"4076","AO","102","AO","102"
"4077","Z","56","Z","56"
"4078","AZ","151","AZ","151"
"4079","S","109","S","109"
"4080","V","46","V","46"
"4081","G","158","G","158"
"4082","AX","128","AX","128"
"4083","BE","108","BE","108"
"4084","AY","60","AY","60"
"4085","Q","25","Q","25"
"4086","S","116","S","116"
"4087","Z","257","Z","257"
"4088","G","326","G","326"
"4089","AL","165","AL","165"
"4090","BC","75","BC","75"
"4091","Y","88","Y","88"
"4092","AN","102","AN","102"
"4093","AM","1","AM","1"
"4094","AK","85","AK","85"
"4095","Y","138","Y","138"
"4096","E","136","E","136"
"4097","AV","76","AV","76"
"4098","T","12","T","12"
"4099","A","96","A","96"
"4100","AJ","103-104-105-106-107","AJ","103-104-105-106-107"
"4101","P","157","P","157"
"4102","AZ","257","AZ","257"
"4103","H","362","H","362"
"4104","","","",""
"4105","AU","59","AU","59"
"4106","AE","176","AE","176"
"4107","BE","171","BE","171"
"4108","AR","60","AR","60"
"4109","Y","64-65-232-233","Y","64-65-232-233"
"4110","D","17","D","17"
"4111","AB","90","AB","90"
"4112","M","26;27","M","26;27"
"4113","AH","253","AH","253"
"4114","AX","95","AX","95"
"4115","X","106","X","106"
"4116","AT","198","AT","198"
"4117","P","81","P","81"
"4118","AI","88","AI","88"
"4119","S","184","S","184"
"4120","E","44","E","44"
"4121","P","129","P","129"
"4122","A","224","A","224"
"4123","AP","25","AP","25"
"4124","S","182","S","182"
"4125","AK","38","AK","38"
"4126","AP","155","AP","155"
"4127","O","59","O","59"
"4128","AL","25","AL","25"
"4129","Q","25","Q","25"
"4130","Q","25","Q","25"
"4131","AS","187","AS","187"
"4132","BF","90","BF","90"
"4133","Y","21","Y","21"
"4134","V","46","V","46"
"4135","AN","166","AN","166"
"4136","D","215","D","215"
"4137","AB","10","AB","10"
"4138","T","29","T","29"
"4139","AR","201","AR","201"
"4140","AO","21","AO","21"
"4141","AZ","257","AZ","257"
"4142","X","73","X","73"
"4143","AB","116-117","AB","116-117"
"4144","F","95","F","95"
"4145","V","39","V","39"
"4146","A","102","A","102"
"4147","Z","56","Z","56"
"4148","AZ","214","AZ","214"
"4149","O","75","O","75"
"4150","M","26","M","26"
"4151","BF","85","BF","85"
"4152","J","259","J","259"
"4153","X","35","X","35"
"4154","X","207","X","207"
"4155","AX","92","AX","92"
"4156","AS","201","AS","201"
"4157","S","124","S","124"
"4158","AY","50","AY","50"
"4159","AM","104","AM","104"
"4160","P","non;renseigné","P","non renseigné"
"4161","G","160","G","160"
"4162","S","22","S","22"
"4163","AX","97","AX","97"
"4164","AN","61","AN","61"
"4165","AE","57","AE","57"
"4166","AZ","214","AZ","214"
"4167","AP","60","AP","60"
"4168","AU","163","AU","163"
"4169","I","86","I","86"
"4170","AU","9;et10","AU","9 et 10"
"4171","AE","176","AE","176"
"4172","","","",""
"4173","AK","145","AK","145"
"4174","D","134","D","134"
"4175","AQ","262","AQ","262"
"4176","AP","186","AP","186"
"4177","X","49","X","49"
"4178","AI","47","AI","47"
"4179","R","62","R","62"
"4180","AP","202","AP","202"
"4181","AS","116","AS","116"
"4182","F","125","F","125"
"4183","A;B","242;;314;312","A;B","242; 314; 312"
"4184","A","186","A","186"
"4185","AL","237","AL","237"
"4186","AS","87","AS","87"
"4187","AO","102","AO","102"
"4188","H","374","H","374"
"4189","H","367;362","H","367;362"
"4190","AM","296","AM","296"
"4191","I","84","I","84"
"4192","AO","216","AO","216"
"4193","AH","110","AH","110"
"4194","S","124","S","124"
"4195","AQ","75","AQ","75"
"4196","AN","102","AN","102"
"4197","AX","91","AX","91"
"4198","AX","7","AX","7"
"4199","AK","116","AK","116"
"4200","H","375","H","375"
"4201","AEE","221","AEE","221"
"4202","H","66","H","66"
"4203","AZ","146","AZ","146"
"4204","H","375","H","375"
"4205","AG","308;310","AG","308;310"
"4206","D","134","D","134"
"4207","AP","96","AP","96"
"4208","X","35","X","35"
"4209","P","129","P","129"
"4210","Y","5","Y","5"
"4211","AM","296","AM","296"
"4212","U","28","U","28"
"4213","AS","87","AS","87"
"4214","S","184","S","184"
"4215","E","135","E","135"
"4216","AT","207-210","AT","207-210"
"4217","AI","79","AI","79"
"4218","S","182","S","182"
"4219","AQ","190","AQ","190"
"4220","AU","82","AU","82"
"4221","BH","138","BH","138"
"4222","AO","80","AO","80"
"4223","X","118","X","118"
"4224","AB","26","AB","26"
"4225","AY","60","AY","60"
"4226","B","250","B","250"
"4227","T","29","T","29"
"4228","K","32","K","32"
"4229","AN","96","AN","96"
"4230","AH","184","AH","184"
"4231","X","207","X","207"
"4232","AR","148","AR","148"
"4233","AQ","262","AQ","262"
"4234","AI","117","AI","117"
"4235","J","286","J","286"
"4236","B","325","B","325"
"4237","AC","51","AC","51"
"4238","AS","116","AS","116"
"4239","E","6","E","6"
"4240","G","55","G","55"
"4241","AR","153","AR","153"
"4242","AX","92","AX","92"
"4243","AQ","262","AQ","262"
"4244","AX","127","AX","127"
"4245","L","134","L","134"
"4246","S","41","S","41"
"4247","AT","81","AT","81"
"4248","AQ","167","AQ","167"
"4249","M","126","M","126"
"4250","AT","157","AT","157"
"4251","N","14","N","14"
"4252","T","56","T","56"
"4253","AN","61","AN","61"
"4254","AH","253;(LOTA)","AH","253 (LOT A )"
"4255","J","54","J","54"
"4256","AM","311","AM","311"
"4257","AU","14-100-112-113-144-145-164-165-185-166","AU","14-100-112-113-144-145-164-165-185-166"
"4258","H","234","H","234"
"4259","G","9","G","9"
"4260","AR","62","AR","62"
"4261","T","185","T","185"
"4262","G","81","G","81"
"4263","B","250","B","250"
"4264","M","26;27","M","26;27"
"4265","Q;etR","31;et131","Q  et R","31 et 131"
"4266","AX","72","AX","72"
"4267","AX","130","AX","130"
"4268","N","11;21","N","11;21"
"4269","AO","80","AO","80"
"4270","U","45","U","45"
"4271","S","41","S","41"
"4272","AQ","293","AQ","293"
"4273","AG","308-310","AG","308-310"
"4274","AZ","257","AZ","257"
"4275","BG","49;-50-51","BG","49 -50 -51"
"4276","AH","253","AH","253"
"4277","T","29","T","29"
"4278","C","130","C","130"
"4279","AN","179","AN","179"
"4280","AH","278","AH","278"
"4281","T","56","T","56"
"4282","AH","253","AH","253"
"4283","AV","150","AV","150"
"4284","C","162","C","162"
"4285","S","163","S","163"
"4286","X","207","X","207"
"4287","E","6","E","6"
"4288","AY","60","AY","60"
"4289","P","129-130-131-93-87-88","P","129-130-131-93-87-88"
"4290","G","32","G","32"
"4291","J","54","J","54"
"4292","X","91","X","91"
"4293","X","91","X","91"
"4294","AO","270","AO","270"
"4295","AB","26","AB","26"
"4296","AH","11","AH","11"
"4297","AK","86","AK","86"
"4298","AS","128","AS","128"
"4299","I","84","I","84"
"4300","H","171","H","171"
"4301","H","271","H","271"
"4302","AQ","293","AQ","293"
"4303","BF","41","BF","41"
"4304","D","134","D","134"
"4305","U","28","U","28"
"4306","AI","101","AI","101"
"4307","AH","105","AH","105"
"4308","A","140","A","140"
"4309","X","35","X","35"
"4310","AN","127;;212","AN","127; 212"
"4311","S","212","S","212"
"4312","AG","133","AG","133"
"4313","AH","253","AH","253"
"4314","D","73","D","73"
"4315","AE","24","AE","24"
"4316","S","182","S","182"
"4317","X","169","X","169"
"4318","Y","14","Y","14"
"4319","AQ","75","AQ","75"
"4320","P","34-66","P","34-66"
"4321","AQ","183","AQ","183"
"4322","BF","197","BF","197"
"4323","AJ","197","AJ","197"
"4324","AZ","117","AZ","117"
"4325","P","129","P","129"
"4326","X","215","X","215"
"4327","K","108","K","108"
"4328","AP","155","AP","155"
"4329","R","45","R","45"
"4330","AY","63","AY","63"
"4331","N","25","N","25"
"4332","AN","99","AN","99"
"4333","AX","135","AX","135"
"4334","G","167","G","167"
"4335","AB","116","AB","116"
"4336","D","133","D","133"
"4337","V","137","V","137"
"4338","AQ","183","AQ","183"
"4339","AQ","183","AQ","183"
"4340","X","75","X","75"
"4341","D","102","D","102"
"4342","AJ","219-220","AJ","219-220"
"4343","AH","11","AH","11"
"4344","BF","93","BF","93"
"4345","F","18","F","18"
"4346","AX","26","AX","26"
"4347","X","97","X","97"
"4348","T","57","T","57"
"4349","BF","104","BF","104"
"4350","H","171","H","171"
"4351","H","171","H","171"
"4352","J","26","J","26"
"4353","M","42","M","42"
"4354","BF","77;et254","BF","77 et 254"
"4355","AO","157","AO","157"
"4356","AD","60;et88","AD","60 et 88"
"4357","AN","13-204","AN","13-204"
"4358","AJ","155","AJ","155"
"4359","AB","90","AB","90"
"4360","Y","198","Y","198"
"4361","X","113","X","113"
"4362","AE","221","AE","221"
"4363","X","90-91","X","90-91"
"4364","Y","108","Y","108"
"4365","J","51","J","51"
"4366","R;S","101-119;159-165","R                                        S","101-119                               159-165"
"4367","AX","135","AX","135"
"4368","AO","60","AO","60"
"4369","O","15","O","15"
"4370","AE","24","AE","24"
"4371","H","364;(p)374(p)","H","364 (p)                                 374 (p)"
"4372","AG","172","AG","172"
"4373","J","92","J","92"
"4374","AL","101","AL","101"
"4375","I","90","I","90"
"4376","F","55","F","55"
"4377","S","213","S","213"
"4378","AL","138","AL","138"
"4379","AY","5","AY","5"
"4380","Y","166","Y","166"
"4381","Y","211","Y","211"
"4382","X","26","X","26"
"4383","AN","122","AN","122"
"4384","AJ","103-104-105-106-107","AJ","103-104-105-106-107"
"4385","0","1","0","1"
"4386","AS","166","AS","166"
"4387","AT","202","AT","202"
"4388","BF","239","BF","239"
"4389","AU","109;;137","AU","109; 137"
"4390","O","46","O","46"
"4391","AS","116","AS","116"
"4392","Z","48","Z","48"
"4393","V","137-;9","V","137- 9"
"4394","AC","29","AC","29"
"4395","N","34","N","34"
"4396","AI","190","AI","190"
"4397","AI","181","AI","181"
"4398","AL","165","AL","165"
"4399","R","63","R","63"
"4400","C","196","C","196"
"4401","AY","87","AY","87"
"4402","BG","110","BG","110"
"4403","AP","96","AP","96"
"4404","B","340-;311","B","340- 311"
"4405","AE","22","AE","22"
"4406","AS","116","AS","116"
"4407","AR","148","AR","148"
"4408","AL","56","AL","56"
"4409","T","62","T","62"
"4410","AZ","129","AZ","129"
"4411","D","224","D","224"
"4412","E","86","E","86"
"4413","AQ","169","AQ","169"
"4414","AT","212","AT","212"
"4415","M","56","M","56"
"4416","R","8","R","8"
"4417","AN","179","AN","179"
"4418","X","118","X","118"
"4419","D","134","D","134"
"4420","AU","14","AU","14"
"4421","BF","197","BF","197"
"4422","Z","56","Z","56"
"4423","AX","135","AX","135"
"4424","AC","7-36-37-38-39","AC","7-36-37-38-39"
"4425","AJ","54-55-56-60-61-62-63-172-225-226","AJ","54-55-56-60-61-62-63-172-225-226"
"4426","A","267p","A","267p"
"4427","H","374-364-95-94-96","H","374-364-95-94-96"
"4428","BF","242","BF","242"
"4429","AS","137","AS","137"
"4430","AQ","208-209","AQ","208-209"
"4431","S","167","S","167"
"4432","J","259","J","259"
"4433","BG","110","BG","110"
"4434","O","15","O","15"
"4435","BF","132","BF","132"
"4436","AS","125","AS","125"
"4437","X","142","X","142"
"4438","I","90","I","90"
"4439","AJ","5","AJ","5"
"4440","AU","64","AU","64"
"4441","AU","62","AU","62"
"4442","AQ","118","AQ","118"
"4443","AP","216","AP","216"
"4444","","","",""
"4445","X","97","X","97"
"4446","V","45","V","45"
"4447","AD","62","AD","62"
"4448","AP","96","AP","96"
"4449","AE","195","AE","195"
"4450","AK","43","AK","43"
"4451","AR","201","AR","201"
"4452","AH","173","AH","173"
"4453","N","11;;21","N","11; 21"
"4454","B","309","B","309"
"4455","P","159","P","159"
"4456","V","11","V","11"
"4457","AS","116","AS","116"
"4458","AN","99","AN","99"
"4459","AM","308;313","AM","308;313"
"4460","S","167","S","167"
"4461","AI","181","AI","181"
"4462","X","191","X","191"
"4463","T","62","T","62"
"4464","AT","173","AT","173"
"4465","D","224","D","224"
"4466","AQ","135","AQ","135"
"4467","AS","44","AS","44"
"4468","AJ","188","AJ","188"
"4469","B","318-191-307-308","B","318-191-307-308"
"4470","AI","88","AI","88"
"4471","AI","88","AI","88"
"4472","S","213","S","213"
"4473","AJ","219-220","AJ","219-220"
"4474","M","32","M","32"
"4475","D","73","D","73"
"4476","A","78","A","78"
"4477","","","",""
"4478","V","11","V","11"
"4479","AX","127","AX","127"
"4480","X","113","X","113"
"4481","J","92","J","92"
"4482","AU","14-100-112-113-144-145-164-165-185-186","AU","14-100-112-113-144-145-164-165-185-186"
"4483","AX","108-109-110-111-112-113-114-115","AX","108-109-110-111-112-113-114-115"
"4484","BF","16","BF","16"
"4485","Y","198","Y","198"
"4486","J","51","J","51"
"4487","AZ","57","AZ","57"
"4488","Z","56","Z","56"
"4489","Z","56","Z","56"
"4490","AP","22","AP","22"
"4491","D","206","D","206"
"4492","AO","32","AO","32"
"4493","J","179","J","179"
"4494","B","268","B","268"
"4495","AO","96","AO","96"
"4496","AP","116","AP","116"
"4497","F","56","F","56"
"4498","X","118","X","118"
"4499","BD","55","BD","55"
"4500","AN","179","AN","179"
"4501","AR","41","AR","41"
"4502","AS","158","AS","158"
"4503","AY","87","AY","87"
"4504","AU","14-100-112-113-144-145-164-165-185-186","AU","14-100-112-113-144-145-164-165-185-186"
"4505","AV","171","AV","171"
"4506","V","21","V","21"
"4507","AT","81","AT","81"
"4508","AL","101","AL","101"
"4509","AD","148","AD","148"
"4510","BF","195","BF","195"
"4511","U","165","U","165"
"4512","L","37","L","37"
"4513","J","259","J","259"
"4514","AO","30","AO","30"
"4515","AZ","7","AZ","7"
"4516","BE","216;et177","BE","216 et 177"
"4517","B","339;b-197a-250b-249a","B","339 b - 197a -250b -249a"
"4518","AQ","136","AQ","136"
"4519","AC","51","AC","51"
"4520","Y","97","Y","97"
"4521","AQ","312","AQ","312"
"4522","M","82","M","82"
"4523","AS","207","AS","207"
"4524","Q","26","Q","26"
"4525","AJ","112","AJ","112"
"4526","AT","81","AT","81"
"4527","AT","123","AT","123"
"4528","AH","253","AH","253"
"4529","S","41","S","41"
"4530","BF","197","BF","197"
"4531","R","32","R","32"
